text,category,alias,verdict,gain,heard_without_dict,heard_with_dict,sentence,judge_reason,stored_verdict,stt_model
furosemide,drug,fur-OH-se-mide,HURTS,-0.094,Please take your furosemide as prescribed.,Please take your Fur-O-Ac-Mide as prescribed.,Please take your furosemide as prescribed.,"The without-dictionary transcript correctly produced ""furosemide,"" while the with-dictionary transcript mangled it into ""Fur-O-Ac-Mide.""",WASH,
hydrochlorothiazide,drug,hy-dro-KLOR-oh-THY-a-zide,HURTS,-0.205,Please take your hydrochlorothiazide as prescribed.,Please take your hydro-clar-OCH-azide as prescribed.,Please take your hydrochlorothiazide as prescribed.,"The without-dictionary transcript correctly produced ""hydrochlorothiazide,"" while the with-dictionary transcript fragmented it into ""hydro-clar-OCH-azide,"" making it less accurate.",WASH,
triamterene,drug,try-AM-ter-een,WASH,-0.013,Please take your triamterine as prescribed.,Please take your Tri-AM-terine as prescribed.,Please take your triamterene as prescribed.,"Both transcripts mispronounce the target as ""triamterine"" rather than ""triamterene""; the dictionary only added capitalization and a hyphenation cue without fixing the vowel error.",HELPS,
bumetanide,drug,byoo-MET-a-nide,WASH,-0.007,Please take your bimetanide as prescribed.,Please take your Biometanide as prescribed.,Please take your bumetanide as prescribed.,"Both transcripts mispronounced the term similarly (""bimetanide"" vs ""Biometanide""), with no meaningful improvement from the dictionary.",WASH,
torsemide,drug,TOR-se-mide,HURTS,-0.134,Please take your torsemide as prescribed.,Please take your Taurus amide as prescribed.,Please take your torsemide as prescribed.,"The without-dictionary transcript correctly produced ""torsemide,"" while the with-dictionary transcript mangled it into ""Taurus amide.""",WASH,
eplerenone,drug,e-PLER-e-none,WASH,-0.013,Please take your Epler Anonis prescribed.,Please take your ePlier eNun as prescribed.,Please take your eplerenone as prescribed.,"Both transcripts are garbled and fail to recover ""eplerenone"" clearly; the dictionary version is marginally worse but neither is meaningfully better.",HELPS,
diltiazem,drug,dil-TY-a-zem,WASH,0.028,Please take your Diltiasm as prescribed.,Please take your DILTY-Azem as prescribed.,Please take your diltiazem as prescribed.,"Both transcripts fail to clearly produce ""diltiazem""; the dictionary version fragments it into ""DILTY-Azem"" which is arguably worse, while the non-dictionary version at least approximates ""Diltiasm"" as a single word.",HURTS,
verapamil,drug,ver-AP-a-mil,WASH,-0.033,Please take your Verapamil as prescribed.,Please take your VerAPMIL as prescribed.,Please take your verapamil as prescribed.,"Both transcripts attempt the same word but neither is a clean rendering; the dictionary version ""VerAPMIL"" is arguably worse/more garbled than the natural ""Verapamil,"" so no clear help.",WASH,
nifedipine,drug,ny-FED-i-peen,WASH,0.004,Please take your knife to penis prescribed.,Please take your Nifeti Pen as prescribed.,Please take your nifedipine as prescribed.,"Both transcripts fail to clearly produce ""nifedipine""; the dictionary version is slightly closer but still garbled and not a clear recovery.",HURTS,
doxazosin,drug,dok-SAZ-oh-sin,WASH,0.0,Please take your doxazosin as prescribed.,Please take your Doxazosin as prescribed.,Please take your doxazosin as prescribed.,"Both transcripts contain the correct term ""doxazosin"" with only a capitalization difference, which is not a meaningful pronunciation distinction.",WASH,
terazosin,drug,ter-AZ-oh-sin,HURTS,-0.051,Please take your Terrazosin as prescribed.,Please take your Ture Zeo Sin as prescribed.,Please take your terazosin as prescribed.,"The without-dictionary transcript ""Terrazosin"" is a reasonable rendering of ""terazosin,"" while the with-dictionary transcript ""Ture Zeo Sin"" is fragmented and clearly worse.",WASH,
prazosin,drug,PRAZ-oh-sin,WASH,0.077,Please take your Prozocin as prescribed.,Please take your PRAZO-SIN as prescribed.,Please take your prazosin as prescribed.,"Both transcripts fail to produce the correct pronunciation ""prazosin""; the dictionary version spells it out as ""PRAZO-SIN"" which is not a natural pronunciation recovery, and the similarity gain is minimal.",WASH,
amiodarone,drug,am-ee-OH-da-rone,HURTS,-0.051,Please take your amiodarone as prescribed.,Please take your AMI-OA Geron as prescribed.,Please take your amiodarone as prescribed.,"The without-dictionary transcript correctly produced ""amiodarone,"" while the with-dictionary transcript mangled it into ""AMI-OA Geron.""",HELPS,
dronedarone,drug,droe-NEH-da-rone,HURTS,-0.206,Please take your Drone-Darone as prescribed.,Please take your Drô Nietzsche-Duron as prescribed.,Please take your dronedarone as prescribed.,"The ""without dictionary"" transcript already produced a reasonable phonetic rendering (""Drone-Darone""), while the ""with dictionary"" transcript became garbled and nonsensical (""Drô Nietzsche-Duron"").",HURTS,
sotalol,drug,SOH-ta-lol,HURTS,-0.057,Please take your Sotolol as prescribed.,Please take your SOH to lal as prescribed.,Please take your sotalol as prescribed.,"The without-dictionary transcript ""Sotolol"" is a reasonable rendering of ""sotalol,"" while the with-dictionary version ""SOH to lal"" is fragmented and worse.",WASH,
propafenone,drug,pro-PAF-eh-none,WASH,0.0,Please take your propifenone as prescribed.,Please take your Propafinone as prescribed.,Please take your propafenone as prescribed.,"Both transcripts mispronounce the term (propifenone vs Propafinone), and neither matches the target ""propafenone""; the dictionary did not improve pronunciation.",WASH,
flecainide,drug,FLEH-ka-nide,HURTS,-0.027,Please take your fleckinite as prescribed.,Please take your F. Leach Canide as prescribed.,Please take your flecainide as prescribed.,"The without-dictionary transcript ""fleckinite"" was a reasonable attempt at the target term, while the with-dictionary transcript fragmented into ""F. Leach Canide,"" which is worse.",HELPS,
mexiletine,drug,mex-IL-eh-teen,HURTS,-0.05,Please take your Mexilatine as prescribed.,Please take your Mexi-Elateen as prescribed.,Please take your mexiletine as prescribed.,"The without-dictionary transcript ""Mexilatine"" is closer to the target ""mexiletine"" than the with-dictionary ""Mexi-Elateen,"" which fragments the word into two parts.",HURTS,
isosorbide dinitrate,drug,eye-so-SOR-bide dye-NYE-trate,HURTS,-0.111,Please take your isosorbide dinatrate as prescribed.,Please take your Isosarbi Dynye trait as prescribed.,Please take your isosorbide dinitrate as prescribed.,"Without dictionary, the term was correctly transcribed as ""isosorbide dinatrate"" (close to target), but with dictionary it became garbled ""Isosarbi Dynye trait.""",HURTS,
isosorbide mononitrate,drug,eye-so-SOR-bide mon-oh-NYE-trate,HURTS,-0.092,Please take your isosorbide mononitrate as prescribed.,Please take your isosarbide mono-YE trait as prescribed.,Please take your isosorbide mononitrate as prescribed.,"Without dictionary, the term was rendered clearly as ""isosorbide mononitrate,"" while the dictionary version garbled it into ""isosarbide mono-YE trait.""",WASH,
warfarin,drug,war-FAR-in,WASH,-0.083,Please take your Warfarin as prescribed.,Please take your Worfaran as prescribed.,Please take your warfarin as prescribed.,"Both transcripts are close approximations of ""warfarin""; neither is clearly correct, and the dictionary version (""Worfaran"") is not better than the original.",HURTS,
rivaroxaban,drug,riv-a-ROX-a-ban,WASH,0.0,Please take your rivaroxaban as prescribed.,Please take your rivaroxaban as prescribed.,Please take your rivaroxaban as prescribed.,Both transcripts are identical and correctly render the term.,HURTS,
apixaban,drug,a-PIX-a-ban,WASH,0.042,Please take your apexaban as prescribed.,Please take your epixaban as prescribed.,Please take your apixaban as prescribed.,"Both transcripts mispronounce the term (""apexaban"" vs ""epixaban""), and neither recovers the correct ""apixaban"" pronunciation.",HELPS,distil-whisper/distil-large-v2
dabigatran,drug,da-big-a-TRAN,WASH,-0.045,Please take your dabigatran as prescribed.,Please take your Da Bigotran as prescribed.,Please take your dabigatran as prescribed.,"Both transcripts fail to clearly render ""dabigatran"" correctly; the dictionary version (""Da Bigotran"") is arguably worse and more garbled than the original.",HURTS,
clopidogrel,drug,kloh-PID-oh-grel,WASH,0.0,Please take your clopidogrel as prescribed.,Please take your Clopidogrel as prescribed.,Please take your clopidogrel as prescribed.,"Both transcripts contain the correct term ""clopidogrel"" with only a capitalization difference, which is not a meaningful pronunciation distinction.",HELPS,
prasugrel,drug,PRA-soo-grel,WASH,0.073,Please take your Prasagrol as prescribed.,Please take your PRA Sugrel as prescribed.,Please take your prasugrel as prescribed.,"Both transcripts attempt the term but neither matches the target ""prasugrel"" cleanly; the dictionary version splits it into ""PRA Sugrel"" which isn't a clear improvement over ""Prasagrol.""",WASH,
ticagrelor,drug,tye-ka-GREL-or,WASH,0.014,Please take your Tocogrelor as prescribed.,Please take your Taika Grell or as prescribed.,Please take your ticagrelor as prescribed.,"Both transcripts fail to clearly produce ""ticagrelor""; the dictionary version (""Taika Grell or"") is arguably more garbled than the non-dictionary version (""Tocogrelor""), but neither recovers the target term.",HELPS,
ezetimibe,drug,eh-ZET-i-mibe,WASH,-0.033,Please take your ezetimibe as prescribed.,Please take your EZEDIMIB as prescribed.,Please take your ezetimibe as prescribed.,"Both transcripts attempt the drug name but neither is a clean match; the dictionary version ""EZEDIMIB"" is arguably less recognizable than ""ezetimibe"" and the similarity score is slightly negative.",WASH,
fenofibrate,drug,fen-oh-FYE-brate,HURTS,-0.092,Please take your phenofibrate as prescribed.,Please take your Phenno FYE Braid as prescribed.,Please take your fenofibrate as prescribed.,"The ""without dictionary"" transcript ""phenofibrate"" is a closer match to the target ""fenofibrate"" than the ""with dictionary"" transcript ""Phenno FYE Braid,"" which is fragmented and less accurate.",HELPS,
gemfibrozil,drug,jem-FYE-broh-zil,HURTS,-0.019,Please take your GemfibroZyl as prescribed.,Please take your Gemphi EbroZil as prescribed.,Please take your gemfibrozil as prescribed.,"The ""without dictionary"" transcript was closer to the target (GemfibroZyl) than the ""with dictionary"" transcript, which fragmented the word into ""Gemphi EbroZil.""",WASH,
niacin,drug,NYE-a-sin,WASH,-0.099,Please take your niacin as prescribed.,Please take your NYEA-SIN as prescribed.,Please take your niacin as prescribed.,"Both transcripts attempt the term but neither matches the target ""niacin"" cleanly; the dictionary version produces a garbled ""NYEA-SIN"" which is not better than the original.",HURTS,
colesevelam,drug,koh-leh-SEV-eh-lam,WASH,0.086,Please take your colchive alum as prescribed.,Please take your Co-Les-Sivé alarm as prescribed.,Please take your colesevelam as prescribed.,"Both transcripts fail to recover the target term ""colesevelam"" clearly; the dictionary version is slightly closer but still garbled and not a clear win.",WASH,
simvastatin,drug,sim-va-STAT-in,WASH,0.0,Please take your Simvastatin as prescribed.,Please take your Simvastatin as prescribed.,Please take your simvastatin as prescribed.,"Both transcripts are identical and correctly render ""Simvastatin.""",HELPS,
rosuvastatin,drug,roh-soo-va-STAT-in,HELPS,0.036,Please take your rosuvistatin as prescribed.,Please take your rosuvastatin as prescribed.,Please take your rosuvastatin as prescribed.,"The without-dictionary transcript mispronounced the term as ""rosuvistatin,"" while the with-dictionary transcript correctly rendered ""rosuvastatin.""",WASH,
pravastatin,drug,PRAV-va-STAT-in,WASH,0.0,Please take your Pravastatin as prescribed.,Please take your Pravastatin as prescribed.,Please take your pravastatin as prescribed.,"Both transcripts are identical and correctly render ""Pravastatin,"" so the dictionary entry had no effect.",HELPS,
fluvastatin,drug,FLOO-va-STAT-in,WASH,0.0,Please take your fluvastatin as prescribed.,Please take your fluvastatin as prescribed.,Please take your fluvastatin as prescribed.,"Both transcripts are identical and correctly render ""fluvastatin,"" so the dictionary entry produced no change.",HURTS,
pitavastatin,drug,pit-a-va-STAT-in,WASH,-0.028,Please take your pithavastatin as prescribed.,Please take your pitivastatin as prescribed.,Please take your pitavastatin as prescribed.,"Both transcripts mispronounce the target term (""pithavastatin"" vs ""pitivastatin""), and neither recovers the correct ""pitavastatin"" pronunciation.",WASH,
alirocumab,drug,a-LIR-oh-kyoo-mab,WASH,0.0,Please take your Aliracumab as prescribed.,Please take your Alarocumab as prescribed.,Please take your alirocumab as prescribed.,"Both transcripts mispronounce the term (""Aliracumab"" vs ""Alarocumab""), and neither matches the target ""alirocumab.""",HELPS,
evolocumab,drug,e-VOL-oh-kyoo-mab,WASH,0.0,Please take your Evolocumab as prescribed.,Please take your Evolocumab as prescribed.,Please take your evolocumab as prescribed.,"Both transcripts are identical and correctly render the term ""Evolocumab,"" so the dictionary had no effect.",HURTS,
metformin,drug,met-FOR-min,WASH,0.0,Please take your metformin as prescribed.,Please take your metformin as prescribed.,Please take your metformin as prescribed.,"Both transcripts already correctly produced ""metformin"" with no difference.",WASH,
glipizide,drug,GLIP-i-zide,WASH,-0.04,Please take your glipizide as prescribed.,Please take your glypizide as prescribed.,Please take your glipizide as prescribed.,"Both transcripts are essentially the same; the dictionary didn't meaningfully change the pronunciation of ""glipizide.""",WASH,
glyburide,drug,GLY-bur-ide,HURTS,-0.109,Please take your Glybaride as prescribed.,Please take your GL Weber Eye Day as prescribed.,Please take your glyburide as prescribed.,"The without-dictionary transcript ""Glybaride"" is a reasonable phonetic rendering of ""glyburide,"" while the with-dictionary transcript ""GL Weber Eye Day"" is completely garbled and unrecognizable.",HURTS,
pioglitazone,drug,py-oh-GLIT-ah-zone,HURTS,-0.071,Please take your pioglitazone as prescribed.,Please take your Pyogli-Azone as prescribed.,Please take your pioglitazone as prescribed.,"The without-dictionary transcript correctly rendered ""pioglitazone,"" while the with-dictionary transcript mangled it into ""Pyogli-Azone.""",WASH,
sitagliptin,drug,sit-ah-GLIP-tin,HURTS,-0.116,Please take your citagliptin as prescribed.,Please take your Citiglib E10 as prescribed.,Please take your sitagliptin as prescribed.,"The ""without dictionary"" transcript ""citagliptin"" is a closer match to ""sitagliptin"" than the ""with dictionary"" transcript ""Citiglib E10,"" which is more garbled and fragmented.",HELPS,
linagliptin,drug,lin-ah-GLIP-tin,HURTS,-0.181,Please take your linagliptin as prescribed.,Please take your LinoglyP10 as prescribed.,Please take your linagliptin as prescribed.,"The without-dictionary transcript correctly rendered ""linagliptin,"" while the with-dictionary transcript mangled it into ""LinoglyP10.""",HELPS,
saxagliptin,drug,sax-ah-GLIP-tin,HURTS,-0.074,Please take your saxagliptin as prescribed.,Please take your Saxaglip 10 as prescribed.,Please take your saxagliptin as prescribed.,"Without dictionary, ""saxagliptin"" was correctly transcribed; with dictionary, it became the garbled ""Saxaglip 10.""",WASH,
alogliptin,drug,al-oh-GLIP-tin,HURTS,-0.127,Please take your allogliptin as prescribed.,Please take your Aloe G.I.P. 10 as prescribed.,Please take your alogliptin as prescribed.,"The without-dictionary transcript ""allogliptin"" is much closer to ""alogliptin"" than the with-dictionary transcript ""Aloe G.I.P. 10,"" which is a garbled expansion.",WASH,
empagliflozin,drug,em-pah-gli-FLOH-zin,WASH,0.018,Please take your empigloplozen as prescribed.,Please take your M. Pogley effloach zin as prescribed.,Please take your empagliflozin as prescribed.,"Both transcripts fail to recover the correct term ""empagliflozin""; the dictionary version is arguably worse with fragmented nonsense syllables.",HELPS,distil-whisper/distil-large-v2
canagliflozin,drug,kan-ah-gli-FLOH-zin,HURTS,-0.039,Please take your Conagliflozin as prescribed.,Please take your can of Glieflochzin as prescribed.,Please take your canagliflozin as prescribed.,"The without-dictionary transcript ""Conagliflozin"" is a much closer phonetic match to ""canagliflozin"" than the with-dictionary transcript ""can of Glieflochzin,"" which fragments the term into nonsensical pieces.",HELPS,
dapagliflozin,drug,dap-ah-gli-FLOH-zin,HURTS,-0.042,Please take your Dapagliflozin as prescribed.,Please take your Dapagli F. Loachzin as prescribed.,Please take your dapagliflozin as prescribed.,"The without-dictionary transcript produced a clean, correct rendering of ""Dapagliflozin,"" while the with-dictionary transcript fragmented it into ""Dapagli F. Loachzin,"" which is clearly worse.",HURTS,
semaglutide,drug,sem-ah-GLOO-tide,WASH,0.0,Please take your semaglutide as prescribed.,Please take your semaglutide as prescribed.,Please take your semaglutide as prescribed.,"Both transcripts are identical and correctly render ""semaglutide,"" so the dictionary entry had no effect.",HELPS,
liraglutide,drug,lir-ah-GLOO-tide,HURTS,-0.116,Please take your Liraglutide as prescribed.,Please take your Lurojulotide as prescribed.,Please take your liraglutide as prescribed.,"The without-dictionary transcript ""Liraglutide"" is essentially correct, while the with-dictionary transcript ""Lurojulotide"" is garbled and further from the target.",HELPS,
exenatide,drug,ex-EN-ah-tide,WASH,0.02,Please take your Exenatitis prescribed.,Please take your Exienatide as prescribed.,Please take your exenatide as prescribed.,"Both transcripts are garbled and neither clearly recovers ""exenatide""; the dictionary version is marginally closer but still wrong.",WASH,
dulaglutide,drug,doo-lah-GLOO-tide,HURTS,-0.084,Please take your Dula Glutide as prescribed.,Please take your doula julotide as prescribed.,Please take your dulaglutide as prescribed.,"Without dictionary, the term was correctly rendered as ""Dula Glutide,"" while with dictionary it became garbled as ""doula julotide.""",WASH,
tirzepatide,drug,teer-ZEP-ah-tide,HURTS,-0.123,Please take your terzipatide as prescribed.,Please take your tears appetite as prescribed.,Please take your tirzepatide as prescribed.,"The without-dictionary transcript ""terzipatide"" is a reasonable phonetic rendering of ""tirzepatide,"" while the with-dictionary transcript ""tears appetite"" is completely wrong and fragmented.",HURTS,distil-whisper/distil-large-v2
insulin glargine,drug,IN-suh-lin GLAR-jeen,HURTS,-0.059,Please take your insulin glargine as prescribed.,Please take your Ion Su Lin Glar gene as prescribed.,Please take your insulin glargine as prescribed.,"The without-dictionary transcript already correctly produced ""insulin glargine,"" while the with-dictionary transcript mangled it into ""Ion Su Lin Glar gene.""",HURTS,
insulin lispro,drug,IN-suh-lin LIS-proh,HURTS,-0.045,Please take your Insulin List Pro as prescribed.,Please take your Ain Sa Lin LIS Pro as prescribed.,Please take your insulin lispro as prescribed.,"The without-dictionary transcript correctly rendered ""Insulin Lispro"" as ""Insulin List Pro,"" while the with-dictionary transcript garbled it into ""Ain Sa Lin LIS Pro,"" making it worse.",HURTS,
insulin aspart,drug,IN-suh-lin AS-part,WASH,-0.029,Please take your insulin Aspart as prescribed.,Please take your Ion Su Lin AS part as prescribed.,Please take your insulin aspart as prescribed.,"Both transcripts fail to clearly render ""insulin aspart"" correctly; the dictionary version is garbled (""Ion Su Lin AS part"") and not an improvement.",HELPS,
insulin detemir,drug,IN-suh-lin DET-uh-meer,WASH,0.0,Please take your insulin to Tamir as prescribed.,Please take your Ayn Sulin DE Mir as prescribed.,Please take your insulin detemir as prescribed.,"Both transcripts fail to clearly produce ""insulin detemir""; the dictionary version is garbled (""Ayn Sulin DE Mir"") and not closer to the target.",HELPS,
insulin degludec,drug,IN-suh-lin deh-GLOO-dek,HURTS,-0.039,Please take your insulin to glutec as prescribed.,Please take your Ayan Selin Dej Glow deck as prescribed.,Please take your insulin degludec as prescribed.,"The ""without dictionary"" transcript was closer to the target (""insulin to glutec"" vs ""insulin degludec""), while the ""with dictionary"" transcript became garbled and fragmented (""Ayan Selin Dej Glow deck"").",WASH,
acarbose,drug,AY-kar-bose,WASH,-0.028,Please take your Acarbosis prescribed.,Please take your AY Carbose as prescribed.,Please take your acarbose as prescribed.,"Both transcripts fail to cleanly produce ""acarbose"" — without gives ""Acarbosis"" (wrong suffix), with gives ""AY Carbose"" (awkward split); neither is clearly better.",WASH,
miglitol,drug,MIG-li-tol,WASH,0.0,Please take your Miglitol as prescribed.,Please take your Miglitol as prescribed.,Please take your miglitol as prescribed.,"Both transcripts are identical and correctly render ""Miglitol,"" so the dictionary entry made no difference.",HELPS,
repaglinide,drug,reh-PAG-li-nide,WASH,-0.049,Please take your repaglonide as prescribed.,Please take your Ray Paglonide as prescribed.,Please take your repaglinide as prescribed.,"Both transcripts mispronounce the term (repaglonide vs. Ray Paglonide), and neither recovers the correct pronunciation ""repaglinide.""",WASH,
nateglinide,drug,nah-TEG-li-nide,HELPS,0.131,Please take your naclinite as prescribed.,Please take your nauteglinide as prescribed.,Please take your nateglinide as prescribed.,"The without-dictionary transcript ""naclinite"" is garbled and misses the target, while the with-dictionary transcript ""nauteglinide"" clearly recovers the correct term ""nateglinide.""",HELPS,
amoxicillin,drug,ah-MOX-i-sil-in,WASH,0.0,Please take your amoxicillin as prescribed.,Please take your Amoxicillin as prescribed.,Please take your amoxicillin as prescribed.,"Both transcripts correctly captured ""amoxicillin""; the only difference is capitalization, which doesn't affect pronunciation accuracy.",WASH,
amoxicillin clavulanate,drug,ah-MOX-i-sil-in klav-yoo-LAN-ate,HELPS,0.07,Please take your amoxicillin clavulinit as prescribed.,Please take your Amoxicillin clavulanate as prescribed.,Please take your amoxicillin clavulanate as prescribed.,"The without-dictionary transcript mispronounced the term as ""clavulinit,"" while the with-dictionary transcript correctly rendered ""clavulanate.""",HURTS,
azithromycin,drug,ah-ZITH-roh-my-sin,WASH,-0.065,Please take your azithromycin as prescribed.,Please take your azitromicin as prescribed.,Please take your azithromycin as prescribed.,"Both transcripts are close approximations of ""azithromycin""; the dictionary version slightly altered the ending but neither is clearly better or worse.",WASH,
cephalexin,drug,sef-ah-LEX-in,WASH,0.0,Please take your Cephalexin as prescribed.,Please take your cephalexin as prescribed.,Please take your cephalexin as prescribed.,"Both transcripts correctly produced ""cephalexin"" with no meaningful difference.",WASH,
ciprofloxacin,drug,sip-roh-FLOX-ah-sin,HURTS,-0.048,Please take your ciprofloxacin as prescribed.,Please take your Cipro-Efloxicin as prescribed.,Please take your ciprofloxacin as prescribed.,"The without-dictionary transcript correctly rendered ""ciprofloxacin,"" while the with-dictionary transcript mangled it into ""Cipro-Efloxicin.""",HELPS,
clindamycin,drug,klin-dah-MY-sin,HURTS,-0.122,Please take your clindamycin as prescribed.,Please take your Klindam I Sin as prescribed.,Please take your clindamycin as prescribed.,"The without-dictionary transcript correctly produced ""clindamycin,"" while the with-dictionary transcript mangled it into ""Klindam I Sin.""",HELPS,
doxycycline,drug,dok-see-SY-kleen,HURTS,-0.157,Please take your doxycycline as prescribed.,Please take your Doc CSI clean as prescribed.,Please take your doxycycline as prescribed.,"The without-dictionary transcript correctly captured ""doxycycline,"" while the with-dictionary transcript garbled it into ""Doc CSI clean.""",HURTS,
metronidazole,drug,me-tro-NI-da-zole,HURTS,-0.048,Please take your metronidazole as prescribed.,Please take your Mitro Anidazole as prescribed.,Please take your metronidazole as prescribed.,"The without-dictionary transcript correctly rendered ""metronidazole,"" while the with-dictionary transcript garbled it into ""Mitro Anidazole.""",WASH,
