text,category,alias,verdict,gain,heard_without_dict,heard_with_dict,sentence
CCB,acronym,calcium channel blocker,HELPS,0.846,ccd,calcium channel blocker,The patient has a history of CCB.
NSAID,acronym,non-steroidal anti-inflammatory drug,HELPS,0.842,seed,nonsteroidal antiinflammatory drug,The patient has a history of NSAID.
TBI,acronym,traumatic brain injury,HELPS,0.84,tbi,traumatic brain injury,The patient has a history of TBI.
AD,acronym,right ear,HELPS,0.833,add,right ear,The patient has a history of AD.
SpO2,acronym,saturation of peripheral oxygen,HELPS,0.832,spo,saturation peripheral oxygen,The patient has a history of SpO2.
CMP,acronym,comprehensive metabolic panel,HELPS,0.824,kanpe,comprehensive metabolic panel,The patient has a history of CMP.
ED,acronym,emergency department,HELPS,0.818,ed,emergency department,The patient has a history of ED.
SCI,acronym,spinal cord injury,HELPS,0.818,sigh,spinal cord injury,The patient has a history of SCI.
Dx,acronym,diagnosis,HELPS,0.818,dx,diagnosis,The patient has a history of Dx.
RR,acronym,respiratory rate,HELPS,0.815,uh,respiratory,The patient has a history of RR.
COPD,acronym,chronic obstructive pulmonary disease,HELPS,0.814,copped,chronic obstructive pulmonary disease,The patient has a history of COPD.
CT,acronym,computed tomography,HELPS,0.81,ct,computed tomography,The patient has a history of CT.
NYD,acronym,not yet diagnosed,HELPS,0.81,naid,not yet diagnosed,The patient has a history of NYD.
ARB,acronym,angiotensin receptor blocker,HELPS,0.806,arb,angiotensin receptor blocker,The patient has a history of ARB.
EEG,acronym,electroencephalogram,HELPS,0.802,e d,electroencephalo,The patient has a history of EEG.
EKG,acronym,electrocardiogram,HELPS,0.8,eki,electrocardiogram,The patient has a history of EKG.
PO,acronym,by mouth,HELPS,0.8,po,by mouth,The patient has a history of PO.
Sx,acronym,symptoms,HELPS,0.8,sx,symptoms,The patient has a history of Sx.
VBG,acronym,venous blood gas,HELPS,0.798,bbb,venus blood gus,The patient has a history of VBG.
MG,acronym,myasthenia gravis,HELPS,0.789,ng,myasthenia gravis,The patient has a history of MG.
ENT,acronym,ear nose and throat,HELPS,0.782,an,ear nose and throt,The patient has a history of ENT.
GERD,acronym,gas-tro-es-uh-FAJ-ul re-FLUKS di-ZEEZ,HELPS,0.781,,gastroes uh fage ul reflux disease,The patient has a history of GERD.
CHF,acronym,congestive heart failure,HELPS,0.778,chf,congestive heart failure,The patient has a history of CHF.
CVA,acronym,cerebrovascular accident,HELPS,0.778,cva,cerebrovascular accident,The patient has a history of CVA.
MSK,acronym,musculoskeletal,HELPS,0.778,nsk,musculoskeletal,The patient has a history of MSK.
PTT,acronym,partial thromboplastin time,HELPS,0.765,ppt,partial thromboplastin,The patient has a history of PTT.
PD,acronym,Parkinson disease,HELPS,0.761,pd,parkinsons disease,The patient has a history of PD.
EDC,acronym,estimated date of confinement,HELPS,0.758,e d,estimated date confinement,The patient has a history of EDC.
SSRI,acronym,se-lek-TIV ser-uh-TON-in re-UP-take in-HIB-i-ter,HELPS,0.752,srry,selective serotonin reuptake inhibitor,The patient has a history of SSRI.
OR,acronym,operating room,HELPS,0.75,or,operating room,The patient has a history of OR.
BP,acronym,blood pressure,HELPS,0.75,bp,blood pressure,The patient has a history of BP.
PPI,acronym,proton pump inhibitor,HELPS,0.75,ppi,proton pump inhibitor,The patient has a history of PPI.
CP,acronym,cerebral palsy,HELPS,0.75,cp,cerebral palsy,The patient has a history of CP.
CV,acronym,cardiovascular,HELPS,0.75,cv,cardiovascular,The patient has a history of CV.
SNRI,acronym,se-LEK-tiv ser-uh-TON-in nor-e-PIN-e-frin re-UP-take in-HIB-i-ter,HELPS,0.743,sunry,selective serotonin norepinefrin reab taken high bite tar,The patient has a history of SNRI.
CAD,acronym,co-ROH-ner-ee AR-ter-ee di-ZEEZ,HELPS,0.741,,coroner e r terrace e disease,The patient has a history of CAD.
SOB,acronym,shortness of breath,HELPS,0.74,saub,shortness breath,The patient has a history of SOB.
CBC,acronym,complete blood count,HELPS,0.739,cbc,complete blood count,The patient has a history of CBC.
DVT,acronym,deep vein thrombosis,HELPS,0.739,dvt,deep vein thrombosis,The patient has a history of DVT.
SC,acronym,subcutaneous,HELPS,0.733,see,subcutaneous,The patient has a history of SC.
NS,acronym,normal saline,HELPS,0.733,ns,normal saline,The patient has a history of NS.
Tx,acronym,treatment,HELPS,0.733,trucks,treatment,The patient has a history of Tx.
BUN,acronym,blood urea nitrogen,HELPS,0.727,bun,blood urea nitrogen,The patient has a history of BUN.
ICU,acronym,intensive care unit,HELPS,0.727,icu,intensive care unit,The patient has a history of ICU.
N/V,acronym,nausea and vomiting,HELPS,0.727,n v,nausea and vomiting,The patient has a history of N/V.
DM,acronym,di-a-BE-teez mel-LI-tus,HELPS,0.714,dm,diabetes mellitus,The patient has a history of DM.
CA,acronym,cancer,HELPS,0.714,c,cancer,The patient has a history of CA.
ESRD,acronym,end-STAGE re-NAL di-ZEEZ,HELPS,0.704,esrd,end stage renal disease,The patient has a history of ESRD.
HR,acronym,heart rate,HELPS,0.692,nhr,heart rate,The patient has a history of HR.
IV,acronym,intravenous,HELPS,0.692,iv,intravenous,The patient has a history of IV.
IM,acronym,intramuscular,HELPS,0.688,an m,intermuscular,The patient has a history of IM.
HD,acronym,Huntington disease,HELPS,0.687,hde,huntingtons disease,The patient has a history of HD.
LOC,acronym,loss of consciousness,HELPS,0.683,lope,loss consciousness,The patient has a history of LOC.
SL,acronym,sublingual,HELPS,0.667,sl,sublingual,The patient has a history of SL.
LP,acronym,lumbar puncture,HELPS,0.667,l p,lumbar puncture,The patient has a history of LP.
DJD,acronym,de-JEN-er-a-tiv jint di-ZEEZ,HELPS,0.656,dj,degenerative joint disease,The patient has a history of DJD.
CKD,acronym,kron-ik KID-nee di-ZEEZ,HELPS,0.64,ctd,croan eek kid nee dizies,The patient has a history of CKD.
ETOH,acronym,alcohol,HELPS,0.636,dato,alcohol,The patient has a history of ETOH.
GBS,acronym,Guillain-Barré syndrome,HELPS,0.634,gbs,gillian barre syndrome,The patient has a history of GBS.
CJD,acronym,Creutzfeldt-Jakob disease,HELPS,0.634,cgd,croyfelt jacob disease,The patient has a history of CJD.
oseltamivir,drug,oh-sel-TAM-ih-veer,HELPS,0.631,assultuhmeeveeras,o seltam ivir,Please take your oseltamivir as prescribed.
RA,acronym,rew-ma-TOYD ar-THRI-tis,HELPS,0.627,r,rematoid r tis,The patient has a history of RA.
SLE,acronym,sis-TEM-ik loo-PUS er-i-thee-ma-TO-sus,HELPS,0.625,s,stemic lupus or iv ma to sus,The patient has a history of SLE.
PT,acronym,prothrombin time,HELPS,0.616,pt,proframbin time,The patient has a history of PT.
LMP,acronym,last menstrual period,HELPS,0.615,l m p,last menstrual period,The patient has a history of LMP.
coryza,clinical,koh-RY-zah,HELPS,0.611,gre,coriza,The patient was diagnosed with coryza.
vilazodone,drug,vil-AZ-oh-done,HELPS,0.605,fullisato nas,villazodone,Please take your vilazodone as prescribed.
MgSO4,acronym,mag-NEE-zee-um sul-FATE,HELPS,0.604,mgso,magne z um sulfate,The patient has a history of MgSO4.
IBS,acronym,i-RI-ta-bul bo-WEL SIN-drom,HELPS,0.6,ive,i re ta bol bo well sin dram,The patient has a history of IBS.
CaCl2,acronym,KAL-see-um KLOR-ide,HELPS,0.595,cl,calsee um chloroed,The patient has a history of CaCl2.
ETCO2,acronym,end-tidal carbon dioxide,HELPS,0.593,etco,entitle carbon dioxide,The patient has a history of ETCO2.
MAOI,acronym,mono-amine OK-si-DASE in-HIB-i-ter,HELPS,0.587,maowi,mono amine oaksydaysay in high by ter,The patient has a history of MAOI.
Neuro,acronym,NEU-roh,HELPS,0.576,marrow,neuro,The patient has a history of Neuro.
PR,acronym,per rectum,HELPS,0.571,,prum,The patient has a history of PR.
NaHCO3,acronym,SOD-ee-um hye-DROK-sah-dye KAR-bo-nate,HELPS,0.567,n h c o,sad e um hyd rock sad die care bo nate,The patient has a history of NaHCO3.
GCS,acronym,Glasgow Coma Scale,HELPS,0.565,g c s,glasgow coma scale,The patient has a history of GCS.
ALL,acronym,ak-YOOT lym-fo-BLAS-tik le-KEE-mee-uh,HELPS,0.562,ol,acute lime fo blas tic luh kee mee uh,The patient has a history of ALL.
NASH,acronym,non-al-ka-ho-LIK ste-to-hep-a-TI-tis,HELPS,0.556,nash,nonalcohollike sweet to hep aptititis,The patient has a history of NASH.
HLD,acronym,hi-per-LIP-i-dee-mee-uh,HELPS,0.55,hiv,hyperlipideemia,The patient has a history of HLD.
NAFLD,acronym,non-al-ka-ho-LIK FAT-ee li-VER di-ZEEZ,HELPS,0.547,nafld,nonalcohollike fatty liver disease,The patient has a history of NAFLD.
IBD,acronym,in-FLAM-a-tor-ee bo-WEL di-ZEEZ,HELPS,0.54,ibd,inflam uh tory bowel disease,The patient has a history of IBD.
ceftriaxone,drug,sef-try-AX-one,HELPS,0.539,sub jack son,ceph triax one,Please take your ceftriaxone as prescribed.
ER,acronym,emergency room,HELPS,0.533,er,emergency,The patient has a history of ER.
HCC,acronym,he-PAT-o-sel-YOO-ler kar-si-NO-ma,HELPS,0.532,hcc,he pat o cel u lar car ci no,The patient has a history of HCC.
IVDU,acronym,I-V drug use,HELPS,0.529,ive do,iv drug use,The patient has a history of IVDU.
BB,acronym,beta blocker,HELPS,0.509,b b,beta block,The patient has a history of BB.
NHL,acronym,non-HOJ-kin lym-FO-ma,HELPS,0.505,an hl,nonhodgkin lemphoma,The patient has a history of NHL.
nateglinide,drug,nah-TEG-li-nide,HELPS,0.5,notic glenaus,na teagly and,Please take your nateglinide as prescribed.
AML,acronym,ak-YOOT my-eh-LOYD le-KEE-mee-uh,HELPS,0.492,ammo,acute myeloid leukemia,The patient has a history of AML.
ethambutol,drug,e-THAM-byoo-tol,HELPS,0.486,esan beetle aspro,ethan by utol,Please take your ethambutol as prescribed.
FHx,acronym,family history,HELPS,0.475,hx,family,The patient has a history of FHx.
AS,acronym,left ear,HELPS,0.467,as,left,The patient has a history of AS.
TCA,acronym,tri-SIK-lik an-TI-de-PRE-sant,HELPS,0.464,tci,tricyclical like and tedepreside,The patient has a history of TCA.
facial,anatomical,FAY-shal,HELPS,0.462,,fayshaw,The biopsy shows inflammation in the facial.
nimodipine,drug,ny-MOE-di-peen,HELPS,0.455,nimada penis,naimo dipine,Please take your nimodipine as prescribed.
PVD,acronym,per-i-FER-ul vas-KYOO-ler di-ZEEZ,HELPS,0.455,pvd,per i per bull vascular disease,The patient has a history of PVD.
carbuncle,clinical,KAR-bung-kul,HELPS,0.455,carpal tunnel,carbuncle,The patient was diagnosed with carbuncle.
HbA1c,acronym,hemoglobin A one C,HELPS,0.452,h b c,hemoglobin c,The patient has a history of HbA1c.
guselkumab,drug,gus-ELK-ue-mab,HELPS,0.45,kukulva is,gus el you mab,Please take your guselkumab as prescribed.
vagotomy,clinical,vay-GOT-oh-mee,HELPS,0.446,fagoni,vagotome,The patient was diagnosed with vagotomy.
acini,anatomical,AS-ih-nye,HELPS,0.444,,as i,The biopsy shows inflammation in the acini.
nicardipine,drug,ny-KAR-di-peen,HELPS,0.44,nicker de peen,nicardipine,Please take your nicardipine as prescribed.
dexlansoprazole,drug,deks-lan-SOH-prah-zole,HELPS,0.438,decks on suprasol,dexlansoprazole,Please take your dexlansoprazole as prescribed.
OA,acronym,os-tee-o-ar-THRI-tis,HELPS,0.431,o,o s t o r three t i s,The patient has a history of OA.
ticagrelor,drug,tye-ka-GREL-or,HELPS,0.423,tecquerailer,taka grell or,Please take your ticagrelor as prescribed.
nefazodone,drug,ne-FAZ-oh-done,HELPS,0.411,nifasatum,nifas o done,Please take your nefazodone as prescribed.
CLL,acronym,kron-ik lym-fo-SIT-ik le-KEE-mee-uh,HELPS,0.411,c l,chron eek lim pho sitteeklee peemia,The patient has a history of CLL.
AKI,acronym,ak-YOOT KID-nee in-JER-ee,HELPS,0.4,aki,acute kidney injury,The patient has a history of AKI.
TEVAR,acronym,TEV-ar,HELPS,0.4,cavar,tevar,The patient has a history of TEVAR.
agnosia,clinical,ag-NOH-zhah,HELPS,0.4,agnose agnose,agnosia,The patient was diagnosed with agnosia.
ibrutinib,drug,eye-BROO-tin-ib,HELPS,0.364,eye root med bes,eye bruten eye bes,Please take your ibrutinib as prescribed.
HTN,acronym,hi-per-TEN-shun,HELPS,0.35,htn,hypertension,The patient has a history of HTN.
naproxen,drug,nah-PROK-sen,HELPS,0.333,niprox and,naproxen,Please take your naproxen as prescribed.
pruritus,clinical,proo-RY-tus,HELPS,0.333,perytus,pruritus,The patient was diagnosed with pruritus.
bulla,clinical,BULL-ah,HELPS,0.333,blu,bull ah,The patient was diagnosed with bulla.
eplerenone,drug,e-PLER-e-none,HELPS,0.324,aptra known,epler enun,Please take your eplerenone as prescribed.
miglitol,drug,MIG-li-tol,HELPS,0.324,modulaol,megliteol,Please take your miglitol as prescribed.
adalimumab,drug,a-da-LIM-oo-mab,HELPS,0.324,adelm,dalim ummab,Please take your adalimumab as prescribed.
frovatriptan,drug,froh-vah-TRIP-tan,HELPS,0.324,frotripdim,frova triptan,Please take your frovatriptan as prescribed.
CCU,acronym,coronary care unit,HELPS,0.32,ccu,coronary tierra,The patient has a history of CCU.
dasatinib,drug,da-SAT-in-ib,HELPS,0.317,disada nb,dosat in i b,Please take your dasatinib as prescribed.
certolizumab,drug,ser-toh-LIZ-oo-mab,HELPS,0.314,surdaleezamab,sare toliz oumab,Please take your certolizumab as prescribed.
islets,anatomical,EYE-lets,HELPS,0.308,eyelids,eyelets,The biopsy shows inflammation in the islets.
ASTHMA,acronym,AZ-muh,HELPS,0.303,asthma,asmu,The patient has a history of ASTHMA.
cimetidine,drug,sy-MET-ih-deen,HELPS,0.302,semidyne,cemetideine,Please take your cimetidine as prescribed.
zonisamide,drug,zoh-NIS-ah-mide,HELPS,0.3,zenasamyda,zonisamida,Please take your zonisamide as prescribed.
lacosamide,drug,lah-KOH-sah-mide,HELPS,0.3,lycosomitis is,lacosamity,Please take your lacosamide as prescribed.
ranitidine,drug,ran-IH-tih-deen,HELPS,0.3,renatadine,ranitidine,Please take your ranitidine as prescribed.
SHx,acronym,social history,HELPS,0.3,shacks,social,The patient has a history of SHx.
CML,acronym,kron-ik my-eh-LOY-deh-ner-tiv le-KEE-mee-uh,HELPS,0.298,cml,chronic myaylodaaaayyyloooodehhhhhd,The patient has a history of CML.
atezolizumab,drug,a-TEZ-oh-LIZ-oo-mab,HELPS,0.29,adazalizamab,tezolizumab,Please take your atezolizumab as prescribed.
risedronate,drug,rih-SED-ro-nate,HELPS,0.28,rasdronedis,rised ro nate,Please take your risedronate as prescribed.
naratriptan,drug,nar-ah-TRIP-tan,HELPS,0.274,narda trip dennis,nara trip tan,Please take your naratriptan as prescribed.
pregabalin,drug,pree-GAB-ah-lin,HELPS,0.269,pridibillinnis,pregab all in is,Please take your pregabalin as prescribed.
fenofibrate,drug,fen-oh-FYE-brate,HELPS,0.263,fibbrate,fenofibrate,Please take your fenofibrate as prescribed.
hematemesis,clinical,hee-ma-TEM-eh-sis,HELPS,0.261,hymatanessus,hematemesses,The patient was diagnosed with hematemesis.
centrilobular,anatomical,sen-trih-LOB-yoo-lar,HELPS,0.26,centrlo,centrlobular,The biopsy shows inflammation in the centrilobular.
diclofenac,drug,dye-KLOH-fen-ak,HELPS,0.255,dyeglifinacc,diclfanack,Please take your diclofenac as prescribed.
gentamicin,drug,jen-ta-MY-sin,HELPS,0.251,gym tanison,gen tamyosin,Please take your gentamicin as prescribed.
golimumab,drug,go-LIM-ue-mab,HELPS,0.237,stick golly mooma ab,golim um ab this,Please take your golimumab as prescribed.
sarilumab,drug,sar-IL-ue-mab,HELPS,0.236,cirillambus,sereliu mabus,Please take your sarilumab as prescribed.
leukopenia,clinical,loo-koh-PEE-nee-ah,HELPS,0.222,leukemia,leukopenia,The patient was diagnosed with leukopenia.
cefuroxime,drug,se-fyoor-OX-eem,HELPS,0.219,safooxanmis,cfeor oxym,Please take your cefuroxime as prescribed.
vena cava,anatomical,VEE-nah KAY-vah,HELPS,0.217,with vena cava,vena cava,The biopsy shows inflammation in the vena cava.
mastectomy,clinical,mas-TEK-toh-mee,HELPS,0.216,misectome,mastec tomy,The patient was diagnosed with mastectomy.
cytarabine,drug,sy-TAIR-a-been,HELPS,0.215,saitara beena,c taraben,Please take your cytarabine as prescribed.
sildenafil,drug,sil-DEN-uh-fil,HELPS,0.215,civitaltel,seal den uh fill,Please take your sildenafil as prescribed.
ASA,acronym,ASPIR-in,HELPS,0.215,asa,asborn,The patient has a history of ASA.
linezolid,drug,li-NEZ-o-lid,HELPS,0.213,lens led edge prescribd,lenas o lid prescribd,Please take your linezolid as prescribed.
sialadenitis,clinical,sigh-al-a-deh-NYE-tis,HELPS,0.213,cl a denitis,si aladinitis,The patient was diagnosed with sialadenitis.
interventricular septum,anatomical,in-ter-ven-TRIK-yoo-lar SEP-tum,HELPS,0.207,inflamation interventricular septum,interventricular septum,The biopsy shows inflammation in the interventricular septum.
ubrogepant,drug,yoo-BROH-jeh-pant,HELPS,0.205,youbrije pad,youbro jeppant,Please take your ubrogepant as prescribed.
metoclopramide,drug,met-oh-KLOH-prah-mide,HELPS,0.203,medical promit,met o clo promaid,Please take your metoclopramide as prescribed.
lisinopril,drug,ly-SIN-oh-pril,HELPS,0.2,licenopril,lisinopril,Please take your lisinopril as prescribed.
nilotinib,drug,ny-LOH-tin-ib,HELPS,0.2,nila ten ab,nila tin ib,Please take your nilotinib as prescribed.
brodalumab,drug,broe-DAL-ue-mab,HELPS,0.2,brolumimab,brodalumab,Please take your brodalumab as prescribed.
endoscopy,clinical,en-DOS-koh-pee,HELPS,0.2,endoscoppee,endoscopy,The patient was diagnosed with endoscopy.
ganglion,anatomical,GANG-glee-on,HELPS,0.2,ganglia,ganglion,The biopsy shows inflammation in the ganglion.
tocilizumab,drug,TOE-sih-LIZ-ue-mab,HELPS,0.197,tosalisamab,tosi lizu mab,Please take your tocilizumab as prescribed.
paclitaxel,drug,pak-li-TAKS-el,HELPS,0.19,palpa taxol,pacli tax l,Please take your paclitaxel as prescribed.
daunorubicin,drug,daw-noh-ROO-bi-sin,HELPS,0.19,adona rubison,dono rubisin,Please take your daunorubicin as prescribed.
gemcitabine,drug,jem-SITE-a-been,HELPS,0.188,jensibun,gemside aben,Please take your gemcitabine as prescribed.
eprodual,drug,eh-PROH-dool,HELPS,0.183,a pradual,ea produal,Please take your eprodual as prescribed.
lansoprazole,drug,lan-SOH-prah-zole,HELPS,0.179,lanse prizal,lan so prozole,Please take your lansoprazole as prescribed.
brexpiprazole,drug,brek-SIP-ra-zole,HELPS,0.176,brixit puzzle,brexit rawzolay,Please take your brexpiprazole as prescribed.
valproate,drug,val-PRO-ate,HELPS,0.176,valprade,valproate,Please take your valproate as prescribed.
asenapine,drug,a-SEN-a-peen,HELPS,0.176,sanapine,asenapine,Please take your asenapine as prescribed.
flecainide,drug,FLEH-ka-nide,HELPS,0.175,flucanaidis,fleconide,Please take your flecainide as prescribed.
atorvastatin,drug,a-TOR-va-STAT-in,HELPS,0.17,tor the staten,at torve stat in,Please take your atorvastatin as prescribed.
armodafinil,drug,ar-mo-DAF-i-nil,HELPS,0.17,modifinel,rmodaff inil,Please take your armodafinil as prescribed.
insulin detemir,drug,IN-suh-lin DET-uh-meer,HELPS,0.169,insulin to,insulin deer,Please take your insulin detemir as prescribed.
sumatriptan,drug,soo-mah-TRIP-tan,HELPS,0.167,suma trip ton,sumatriptan,Please take your sumatriptan as prescribed.
fornix,anatomical,FOR-niks,HELPS,0.167,formex,fornex,The biopsy shows inflammation in the fornix.
APAP,acronym,acetaminophen,HELPS,0.165,apac,acidomelphin,The patient has a history of APAP.
cisplatin,drug,sis-PLAT-in,HELPS,0.163,sis platen,cis plat in,Please take your cisplatin as prescribed.
alirocumab,drug,a-LIR-oh-kyoo-mab,HELPS,0.162,aleraqamab,alero qumab,Please take your alirocumab as prescribed.
spironolactone,drug,spir-oh-no-LAK-tone,HELPS,0.161,tick sparnalactone,spire oh no lactone,Please take your spironolactone as prescribed.
foramina,anatomical,fo-RAM-ih-nah,HELPS,0.16,biopsies foramina,forramaid na,The biopsy shows inflammation in the foramina.
risperidone,drug,ris-PER-ih-done,HELPS,0.157,resprouted on,riz per ive done,Please take your risperidone as prescribed.
furuncle,clinical,FYOOR-ung-kul,HELPS,0.157,farunkl,feur uncl,The patient was diagnosed with furuncle.
fludrocortisone,drug,floo-dro-KOR-tih-zone,HELPS,0.155,flutter cortisone,fluodrocortisone,Please take your fludrocortisone as prescribed.
fissure,clinical,FISH-ur,HELPS,0.154,fisher,fishur,The patient was diagnosed with fissure.
liraglutide,drug,lir-ah-GLOO-tide,HELPS,0.15,laraglu tie it,laraglu tide,Please take your liraglutide as prescribed.
oxcarbazepine,drug,oks-kar-BAZ-eh-peen,HELPS,0.148,ox carbazapene,ox carbazepine,Please take your oxcarbazepine as prescribed.
thrombophilia,clinical,throm-bo-FIL-ee-ah,HELPS,0.148,thrumuhfileeuh,thrombofileeuh,The patient was diagnosed with thrombophilia.
donepezil,drug,doe-NEP-e-zil,HELPS,0.147,done pezzol,do nepezil,Please take your donepezil as prescribed.
ondansetron,drug,on-DAN-seh-tron,HELPS,0.146,on andronus,on daneronus,Please take your ondansetron as prescribed.
TAVR,acronym,TAH-ver,HELPS,0.145,tass,tabra,The patient has a history of TAVR.
budesonide,drug,byoo-DEH-soh-nide,HELPS,0.144,beezunaius,bio day so nighty,Please take your budesonide as prescribed.
cryptae,anatomical,KRIP-tee,HELPS,0.144,to crypti,crypti,The biopsy shows inflammation in the cryptae.
olodaterol,drug,oh-loh-DA-ter-ol,HELPS,0.143,allodaterol,olodaterol,Please take your olodaterol as prescribed.
simvastatin,drug,sim-va-STAT-in,HELPS,0.142,symbostatin,sinva statin,Please take your simvastatin as prescribed.
ciprofloxacin,drug,sip-roh-FLOX-ah-sin,HELPS,0.141,seproflaxus in,sip ro flox a sin,Please take your ciprofloxacin as prescribed.
cholecyst,anatomical,KOH-leh-sist,HELPS,0.139,collest,coleycyst,The biopsy shows inflammation in the cholecyst.
clindamycin,drug,klin-dah-MY-sin,HELPS,0.133,clin dyson,clin da my sin,Please take your clindamycin as prescribed.
stridor,clinical,STRY-dor,HELPS,0.133,straitor,straidor,The patient was diagnosed with stridor.
avelumab,drug,a-VEL-oo-mab,HELPS,0.132,evolimad,uh valu mab,Please take your avelumab as prescribed.
pravastatin,drug,PRAV-va-STAT-in,HELPS,0.129,protostatin is,provasstatin is,Please take your pravastatin as prescribed.
rufinamide,drug,roo-FIN-ah-mide,HELPS,0.128,roof and i know it,roof in uh uh uh midate,Please take your rufinamide as prescribed.
zolmitriptan,drug,zohl-mi-TRIP-tan,HELPS,0.128,zomitrp per,zomitrp,Please take your zolmitriptan as prescribed.
pantoprazole,drug,pan-TOH-prah-zole,HELPS,0.127,pantaprazola,pantoprazolae,Please take your pantoprazole as prescribed.
zafirlukast,drug,za-FIR-loo-kast,HELPS,0.124,yours a firaloo cast,zafferloo cast,Please take your zafirlukast as prescribed.
insulin aspart,drug,IN-suh-lin AS-part,HELPS,0.123,insulin per,insulin part,Please take your insulin aspart as prescribed.
ertapenem,drug,er-ta-PEN-em,HELPS,0.121,ear hap and m,r t pen m,Please take your ertapenem as prescribed.
hydralazine,drug,hy-DRAL-a-zeen,HELPS,0.12,hy hydralazine,hydralazine,Please take your hydralazine as prescribed.
hyponatremia,clinical,hy-poh-nah-TREE-mee-ah,HELPS,0.12,hypernatremia,hyponatremia,The patient was diagnosed with hyponatremia.
cetuximab,drug,se-TUX-i-mab,HELPS,0.118,sittaxad,siptuxaz,Please take your cetuximab as prescribed.
acetaminophen,drug,ah-SEE-tah-MIN-oh-fen,HELPS,0.116,asehtuhminuhfen,ahseetahminohfen,Please take your acetaminophen as prescribed.
desvenlafaxine,drug,des-ven-la-FAK-seen,HELPS,0.116,destbin la vaccine is,destben la vaccine,Please take your desvenlafaxine as prescribed.
empagliflozin,drug,em-pah-gli-FLOH-zin,HELPS,0.114,in pagla flows in,impoogly flozin,Please take your empagliflozin as prescribed.
ipratropium,drug,ip-ra-TROH-pee-um,HELPS,0.114,atropium,ipratropi um,Please take your ipratropium as prescribed.
canagliflozin,drug,kan-ah-gli-FLOH-zin,HELPS,0.113,canny blisslozen,can agly flows in,Please take your canagliflozin as prescribed.
